prop_id,int(12),1,12,12,Property Id
prop_val_yr,numeric(5),13,17,5,Appraisal or Tax Year
sup_num,int(12),18,29,12,"Supplement Version Number - 0 = represents certified data, supplemental data otherwise"
owner_id,int(12),30,41,12,Owner Id
entity_id,int(12),42,53,12,Entity Id
entity_cd,char(10),54,63,10,10 character code that will represent the entity
entity_name,char(50),64,113,50,Descriptive Name of Entity
entity_xref_id,char(20),114,133,20,Entity Local Xref Id Number
filler,char(15),134,148,15,Not in use
assessed_val,numeric(15),149,163,15,Assessed Value
taxable_val,numeric(15),164,178,15,Taxable Value
ab_amt,numeric(15),179,193,15,Abatement Exemption Amount Granted by Entity
en_amt,numeric(15),194,208,15,Energy Exemption Amount Granted by Entity
fr_amt,numeric(15),209,223,15,Freeport Exemption Amount Granted by Entity
ht_amt,numeric(15),224,238,15,Historical Exemption Amount Granted by Entity
pro_amt,numeric(15),239,253,15,Prorated Exemption Amount Granted by Entity
pc_amt,numeric(15),254,268,15,Pollution Control Exemption Amount Granted by Entity
so_amt,numeric(15),269,283,15,Solar Exemption Amount Granted by Entity
ex366_amt,numeric(15),284,298,15,"EX366 Exemption Amount Granted by Entity
Properties under $500 minimum exemption"
hs_amt,numeric(15),299,313,15,Homestead Amount granted by entity
ov65_amt,numeric(15),314,328,15,Over 65 Amount granted by entity
dp_amt,numeric(15),329,343,15,Disability Exemption Amount granted by entity
dv_amt,numeric(15),344,358,15,Disabled Veteran Amount granted by entity
ex_amt,numeric(15),359,373,15,"Total Exemption Amount granted by entity
(Needed for Prorated Total Exemption Accounts)"
ch_amt,numeric(15),374,388,15,Charitable Exemption Amount granted by entity
market_value,numeric(15),389,403,15,Market Value
appraised_value,numeric(15),404,418,15,Appraised Value
hs_cap,numeric(15),419,433,15,HS Cap
ag_late_loss,numeric(15),434,448,15,Late ag loss
freeport_late_loss,numeric(15),449,463,15,Late Freeport Loss
hs_state_amt,numeric(15),464,478,15,Homestead Exemption State Amount
hs_local_amt,numeric(15),479,493,15,Homestead Exemption Local Amount
land_hstd_val,numeric(15),494,508,15,Land Homestead Value
land_non_hstd_val,numeric(15),509,523,15,Land Non Homestead Value
imprv_hstd_val,numeric(15),524,538,15,Improvement Homestead Value
imprv_non_hstd_val,numeric(15),539,553,15,Improvement Non Homestead Value
ag_use_val,numeric(15),554,568,15,Agriculture Use Value
ag_market_val,numeric(15),569,583,15,Agriculture Market Value
tim_use_val,numeric(15),584,598,15,Timber Use Value
tim_market_val,numeric(15),599,613,15,Timber Market Value
partial_entity,char(1),614,614,1,"If ""T"" the property is not 100% within the entity."
freeze_yr,numeric(4),615,618,4,Freeze Year
freeze_ceiling,numeric(15),619,633,15,Freeze Ceiling
freeze_transfer_flag,char(1),634,634,1,Freeze Transfer Flag
freeze_transfer_date,char(25),635,659,25,Freeze Transfer Date
freeze_previous_tax,numeric(15),660,674,15,Freeze Previous Tax
freeze_previous_tax_unfrozen,numeric(15),675,689,15,Freeze Previous Tax Unfrozen
freeze_transfer_percentage,"numeric(9,6)",690,698,9,Freeze Transfer Percentage
lve_amt,numeric(15),699,713,15,Leased vehicle exemption amount
eco_amt,numeric(15),714,728,15,ECO exemption amount
ag_use_val_ne,numeric(15),729,743,15,Ag use val non-exempt
ag_use_val_ex,numeric(15),744,758,15,Ag use val exempt
ag_market_ne,numeric(15),759,773,15,Ag market non-exempt
ag_market_ex,numeric(15),774,788,15,Ag market exempt
